marketplace,product_name,product_url,price_text,price_value,currency,location_city,location_full,specs,description,company_name,contact_person,company_website,gst,scraped_at
indiamart,Paper Cup Making Machine,https://www.indiamart.com/proddetail/paper-cup-making-machine-22889128791.html,"₹ 7,50,000",750000.0,INR,Faridabad,,"{""Automation Grade"": ""Automatic"", ""Item Condition"": ""New"", ""Power Consumption"": ""7KW"", ""Brand"": ""Prakash Offset"", ""Country of Origin"": ""Made in India"", ""Availability"": ""In Stock"", ""View in Hindi"": ""पेपर कप बनाने की मशीन""}","PC-950 paper cup machine is improved based on the normal chain driving type. In this machine is adopted which is based on Open Cam System(No Gear Box).This machine runs a whole procedure of paper-feeding, cup-fan-wall sealing, oiling, bottom punching, heating, rolling, rimming, rounding and tripping. It is an idea equipment for producing drinking cups, market cups, coffee cups, advertising cups , etc. It is widely used for hot drink and beverage. If you need double pe coated paper cups or paper gram higher 250g/m2, we recommend you to use Ultrasonic paper cup machine. It can produce single pe coated paper cups and double pe coated paper cups.",Prakash Machineries Private Limited,Saurabh Gupta,https://www.prakashoffsetmachines.com/,06AABCA0227H1ZA,2025-11-17T10:42:41.181643Z
indiamart,Eco Friendly Paper Cup Making Machine,https://www.indiamart.com/proddetail/eco-friendly-paper-cup-making-machine-2854321116288.html,"₹ 5,50,000",550000.0,INR,Sonipat,,"{""Production Capacity"": ""50 cups/min"", ""Cup Size"": ""100 ml"", ""Automation Grade"": ""Automatic"", ""Item Condition"": ""New"", ""Country of Origin"": ""Made in India"", ""Availability"": ""In Stock""}",Advantages : More reliable and durable. It makes both one sided or two-side PE-film-coated paper cups. Robot transfer cup body. Bottom-disk punching Bottom pre-heating and pre-folding. Bottom knurling(cool devices for 2PE).,RSwastik Industries Private Limited,Kartik Gupta,https://www.swastikpapermachine.in/,06AAKCR1990H1Z4,2025-11-17T10:42:41.244592Z
indiamart,PVC SMBI-1200 PAPER CUP MAKING MACHINE,https://www.indiamart.com/proddetail/smbi-1200-paper-cup-making-machine-2851566281512.html,"₹ 5,10,000",510000.0,INR,New Delhi,,"{""Production Capacity"": ""More than 500 pieces per hour"", ""Material Processed"": ""PVC"", ""Cup Size"": ""100-200 ml"", ""Warranty"": ""1 YEAR"", ""Automation Grade"": ""Automatic"", ""Machine Weight"": ""1300KG"", ""Item Condition"": ""New"", ""Availability"": ""In Stock""}",Type: ZSZB-D100 Cup size: 3-9oz(different size mould exchanged) Suitable paper materia: 150-350g/m2 （single or double PE-coated paper) Capacity: 70-100pcs/min Power source: 220V、380V 50HZ（please inform us your power in advanced） power: 4KW Weight: 1300KG Package size: 2100 x 1100 x 1700 mm Working Air Source: Air pressure 0.4Mpa;Air out-put:0.6m3/min,Small And Medium Business Industry,A.K. Singh,https://www.smallmediumbusinessindia.com/,07BZSPS9513G1ZP,2025-11-17T10:42:41.314338Z
indiamart,"Jain Industries 3 Phase Automatic Single PE Paper Cup Forming Machine, Capacity : 4200 Cups/Hour",https://www.indiamart.com/proddetail/automatic-single-pe-paper-cup-forming-machine-9943551448.html,"₹ 6,00,000",600000.0,INR,New Delhi,,"{""Machine Weight"": ""1500 Kg"", ""Automation Grade"": ""Automatic"", ""Production Capacity (cups per hour)"": ""4200 Cups/hour"", ""Material Processed"": ""Paper"", ""Cup Size"": ""45-330 ml"", ""Phase"": ""3 Phase"", ""Warranty"": ""2 Year"", ""Brand"": ""Jain Industries"", ""GSM"": ""150-250 GSM"", ""Availability"": ""In Stock""}","We have established ourselves as an ace manufacturer, trader, importer and exporter of Automatic Single PE Paper Cup Forming Machine and have marked our name very strongly in the market.Offered paper cups are exceedingly applauded in the market for their durable nature. Optically controlled non contact switch automatically controls the machine, ensuring the safety of the machine and operator. The offered range of paper bowl forming machine (single PE coated paper) is equipped with a micro-computer controlled inverter which helps the equipment realize speed regulation. Features: Automated mechanism of the machine Thick paper used Elevated durability",Jain Industries,Sandeep Jain,https://www.jainpapercupmachine.com/,07AGCPJ5061G1ZN,2025-11-17T10:42:41.369223Z
indiamart,Paper Cup Making Machine,https://www.indiamart.com/proddetail/paper-cup-making-machine-26221291762.html,"₹ 6,75,000",675000.0,INR,New Delhi,,"{""Production Capacity"": ""110 cups/min"", ""Material Processed"": ""paper"", ""Cup Size"": ""100 ml to 250 ml"", ""Automation Grade"": ""Automatic"", ""Phase"": ""three"", ""Item Condition"": ""New"", ""Availability"": ""In Stock""}",We are also associated with the well-known vendors in order to procure .we ahve best quality paper cup making machine at best price in market.,Jai Shree Industries ( Regd.),Pawan Kumar,https://www.jaishreeindustries.in/,07AHHPK3333Q1ZZ,2025-11-17T10:42:41.424609Z
indiamart,"Pritul Machines High Speed Paper Cup Making Machine, Automation Grade: Automatic, 3000-4000",https://www.indiamart.com/proddetail/high-speed-paper-cup-making-machine-15095736830.html,"₹ 5,50,000",550000.0,INR,Muzaffarnagar,,"{""Production Capacity"": ""40-60 psc/min"", ""Capacity"": ""3000-4000"", ""Cup Feature"": ""Double PE Coated Paper, Single PE Coated Paper, Logo Printed, Hot and Cold Drink Cup, Multicolor"", ""Brand"": ""Pritul Machines"", ""Automation Grade"": ""Automatic"", ""Cup Size"": ""100-200 ml"", ""Warranty"": ""1 Year"", ""Dimension"": ""2700 x 1370 x 1350 mm"", ""Frequency"": ""50 Hz"", ""Power Load"": ""4 kw"", ""Required Paper"": ""150-270 GSM Single Side PE Paper"", ""Voltage"": ""220/440V"", ""Availability"": ""In Stock""}","Pritul's Paper Cup machine is a typical example of engineering excellence. The machine has been designed on CAD and manufactured on CNC machines. It incorporate the complete process from fedding of cut papper strip to stacking of ready cups. the incorporates the complete process from feeding of cut paper strip to stacking of ready cups. The machines operates with minimum sound and zero rejection. It always easy changing of mould for the production of different sizes of cups. Cups manufactured on the machine are suitable for serving hor drinks (tea, coffee,soups) cold drinks, aerated drinks, shakes, juice, ice cream) etc. Specification: Model > PCM 1035 PCM 1038 PCM 1045 PCM 1052 Bottom Size 35 38 45 52 Cup Size 40-60 ml. 60-100 ml. 100-150 ml. 100-330 ml.",Pritul Machines,Pritul Jain,https://www.pritul.co.in/,09AARPJ1729N1Z2,2025-11-17T10:42:41.488358Z
indiamart,Paper Cup Forming Machine (95-Pcs/Min),https://www.indiamart.com/proddetail/paper-cup-forming-machine-95-pcs-min-23528301330.html,"₹ 7,90,000",790000.0,INR,Jaipur,,"{""Warranty"": ""1 year"", ""Machine Weight"": ""3600 Kg"", ""Certification"": ""CE"", ""Brand"": ""Nessco"", ""Model"": ""NS-160D"", ""Speed"": ""160 Pcs/Min."", ""Paper Specifications"": ""180-350 Gsm"", ""Raw Materials"": ""Single/Double PE Coated Paper"", ""Glass Size"": ""3Oz/100Ml-32Oz/1000Ml"", ""Cup Top Dia (TD)"": ""70-95 (mm)"", ""Cup Height (H)"": ""60-135 (mm)"", ""Cup Bottom Dia (RB)"": ""50-75 (mm)"", ""Voltage"": ""380-400VAC"", ""General Power"": ""6 Kw"", ""Dimensions"": ""\""2600X1000X2000 (mm) \"""", ""Air Flow Rate / Pressure"": ""\""Air Flow Rate = 28 Cfm Air Pressure = 6-8 Bar\"""", ""Availability"": ""In Stock""}","The NS-160D Double Wall Paper Cup Machine is designed with patented Open Cam Technology. It is capable of producing 160 cups of 4-16 oz every minute. Moreover its single-turn plate technology and its heavy structure ensures lesser noise and vibration. This model comprises of PLC control system and sensor failure detection, which stops machine's working after detecting a problem.",Nessco India,Yogesh Agarwal,https://www.indiamart.com/nesscoindia/,08AJEPG0761B1ZS,2025-11-17T10:42:41.546093Z
indiamart,360ml Paper Cup Making Machine,https://www.indiamart.com/proddetail/paper-cup-making-machine-2850867584548.html,"₹ 6,90,000",690000.0,INR,New Delhi,,"{""Capacity"": ""360ml"", ""Type"": ""Single Wall"", ""Thickness"": ""400 GSM"", ""Height"": "">6 Inch"", ""2000x1100x1400mm(LWH)"": ""2000x1100x1400mm -LWH"", ""Availability"": ""In Stock""}","Production-100 pcs in 1 min, required-140-239gsn/ single side pe paper cup size- 50 ml to 350 ml electricy supply- 380v, 220,59hz( single/ tripple phase) total power-3. 5 kw weight-1200 kg overall dimension- 2000x1100x1400mm(lwh)",Sonni Traders,Riya,https://www.indiamart.com/sonnitraders/,,2025-11-17T10:42:41.601802Z
indiamart,Paper Cup Forming Machine,https://www.indiamart.com/proddetail/paper-cup-forming-machine-3899329197.html,"₹ 6,50,000",650000.0,INR,Faridabad,,"{""Production Capacity"": ""90 cups/min"", ""Availability"": ""In Stock""}","AUTOMATIC PAPER CUP FORMING MACHINE : We are readily engaged in dispatching High Speed Paper Cup Making Machines. The offered range is utilized to make hot and cold beverages. In addition to this, the high-grade single side or double sided PE coated papers are ideally utilized to make the cups.",Adco Print Pack India,Mahesh Yadav,https://www.adcoprintpackindia.co.in/,06AOPPD7594F1ZL,2025-11-17T10:42:41.658084Z
indiamart,"3 Phase Automatic Double Side PE Coated Paper Cup Making Machine, 12 oz, 1 Year",https://www.indiamart.com/proddetail/double-side-pe-coated-paper-cup-making-machine-7829681833.html,"₹ 6,00,000",600000.0,INR,Coimbatore,,"{""Material Processed"": ""Two Sided PE Coated Paper"", ""Automation Grade"": ""Automatic"", ""Phase"": ""3 Phase"", ""Production Capacity (cups per hour)"": ""50 pieces/min"", ""Cup Size"": ""12 oz"", ""Brand"": ""Future"", ""Warranty"": ""1 Year"", ""Frequency"": ""50 Hz"", ""Dimension"": ""2500x1200x1400 mm"", ""Country of Origin"": ""Made in India"", ""Machine Weight"": ""1800 Kg"", ""Model No."": ""JBZ-S12"", ""Paper Thickness"": ""320 GSM"", ""Total Power"": ""6 kW"", ""Voltage"": ""380 V"", ""Electric Control Box Size"": ""730x600x1300 mm"", ""Availability"": ""In Stock""}","JBZ-S12 type Double Side PE Coated Paper Cup Making Machine is the automatic environmental machine with multi-running positions. This machine runs a whole procedure of paper-feeding, cup-fan-wall sealing, oiling, bottom-punching, heating, rolling, rimming, rounding and tripping. It is an idea equipment of producing drinking cup, ice-cream cup and other food cone-shaping containers.",Future Packs,Shagul Hameed,https://www.futureenterprises.co.in/,33CLRPA1089B1ZF,2025-11-17T10:42:41.728400Z
